datetime,rv,lvol,roughsim
2012-01-24,6.707360077866042e-05,-9.6097200224194,-10.114235526654602
2012-01-25,8.584719915878242e-05,-9.36294159597789,-10.55579324027065
2012-01-26,6.481644981622437e-05,-9.643951131633173,-9.933450021379393
2012-01-27,8.209605631986175e-05,-9.407620577740468,-10.53374787243424
2012-01-29,1.8376129460118588e-05,-10.904458047537068,-9.98601387588835
2012-01-30,6.532256781315391e-05,-9.636172979349407,-7.863333576369996
2012-01-31,8.672041356401261e-05,-9.3528212513266,-9.595069149637553
2012-02-01,7.26574502689227e-05,-9.52975462304866,-8.55411469676255
2012-02-02,5.624213363653059e-05,-9.78584437312085,-9.035161238860539
2012-02-03,9.940630990766879e-05,-9.216294966360087,-8.124821653998572
2012-02-05,1.370985178728818e-05,-11.197395875003687,-8.15294669074958
2012-02-06,5.0476027064506075e-05,-9.89401204598812,-9.135988765055805
2012-02-07,5.1005485341962194e-05,-9.883577375298902,-9.423308271328224
2012-02-08,4.914042246916169e-05,-9.920828593652159,-9.392730122003623
2012-02-09,6.740396346408827e-05,-9.604806736669797,-7.724325207380508
2012-02-10,5.361195140791114e-05,-9.83373854071434,-7.87597520825223
2012-02-12,3.459676594147991e-05,-10.271750350168602,-8.501558100699075
2012-02-13,4.563651676111233e-05,-9.994802355753366,-9.599949282499392
2012-02-14,7.520217333075446e-05,-9.49533042675117,-9.20173946119705
2012-02-15,8.952425307286977e-05,-9.321000985338602,-8.81026315965844
2012-02-16,6.0200971967797276e-05,-9.717822060135365,-9.430250173508684
