datetime;HAR;RFSV;actuals
2018-11-22 01:20:00;-19.39847196287257;-16.39802302270911;-15.649287617680997
2018-11-22 01:25:00;-19.106953059889626;-16.326612058421492;-18.540140950897513
2018-11-22 01:30:00;-18.868324892374282;-16.575971914972495;-17.153422618091792
2018-11-22 01:35:00;-19.493287488810317;-16.509387500207097;-18.539764107892697
2018-11-22 01:40:00;-19.24763596375066;-17.06189011926084;-17.84680535770218
2018-11-22 01:45:00;-19.586692885903737;-16.457621399576695;-16.748538449784203
2018-11-22 01:55:00;-19.40612820821945;-16.792767136168713;-15.13994182329407
2018-11-22 02:00:00;-19.09220953453802;-17.031635570432627;-16.59479591929628
2018-11-22 02:05:00;-18.726463436691226;-16.126621618019207;-15.243787596630979
2018-11-22 02:10:00;-19.01064602771509;-16.67812010786643;-15.705796853256944
2018-11-22 02:15:00;-18.66518932696919;-16.093052538616938;-16.59291151137378
2018-11-22 02:20:00;-18.764703670392343;-16.217550337830716;-17.43983230927139
2018-11-22 02:25:00;-18.980178260286372;-16.965864301617206;-15.172078301084317
2018-11-22 02:30:00;-19.1265604349445;-16.53888197168143;-16.14145759700717
2018-11-22 02:35:00;-18.542801033420453;-17.46490757169951;-15.494730104849971
2018-11-22 02:40:00;-18.744788485094993;-16.772681589521127;-15.766256520902067
2018-11-22 02:45:00;-18.537451880141013;-16.598709178941984;-15.765608298779405
2018-11-22 02:50:00;-18.57015090561719;-16.358990965121528;-16.928403175955115
2018-11-22 02:55:00;-18.584490153266067;-16.383289719878515;-16.34046556655053
2018-11-22 03:00:00;-18.870345106921256;-16.358745457757102;-15.27876637988124
2018-11-22 03:05:00;-18.689426823868523;-16.240535337415714;-15.40123614008931
2018-11-22 03:10:00;-18.357254900392142;-16.073720764283493;-14.624372660943777
2018-11-22 03:15:00;-18.315159907775175;-16.1041494362321;-14.45863026114285
2018-11-22 03:20:00;-18.015810495936982;-15.731421898662273;-16.457399610691418
2018-11-22 03:25:00;-17.98318530197536;-16.22009119338722;-15.763745176661313
2018-11-22 03:30:00;-18.56874225989508;-16.499929568051932;-14.203652569942053
2018-11-22 03:35:00;-18.300584831603366;-15.976740511292506;-14.869600946262679
2018-11-22 03:40:00;-17.758981168730536;-15.574599787620132;-15.588629278305193
2018-11-22 03:45:00;-17.960196142867623;-15.887114382215158;-15.441401961879462
2018-11-22 03:50:00;-18.18257207243436;-16.330589399978027;-15.097755066459188
2018-11-22 03:55:00;-18.097028155486434;-15.630621962577774;-14.769850503085278
2018-11-22 04:00:00;-17.93448549676952;-15.959258429299844;-15.640894545120146
2018-11-22 04:05:00;-17.811878522920885;-16.857907111828254;-14.817292571369824
2018-11-22 04:10:00;-18.074515622602114;-16.657896640996317;-14.679712945013259
2018-11-22 04:15:00;-17.7454750201532;-16.634764707626076;-16.131667111666097
2018-11-22 04:20:00;-17.716236407742365;-15.882712152840343;-15.270795544623661
