datetime;GARCH;HAR;RFSV;actuals
2018-12-04 14:00:00;-15.302363219121759;-12.153308793666335;-13.255663228581483;-10.620695065151716
2018-12-04 15:00:00;-15.117810597661638;-12.158012182537076;-13.519874613597896;-10.260588226746298
2018-12-04 16:00:00;-15.091003880442202;-12.33881640553504;-13.734744159883743;-11.617580391254746
2018-12-04 18:00:00;-14.238586222400125;-12.117922134436595;-13.853753426614338;-12.333334017839716
2018-12-04 19:00:00;-14.772850105375625;-13.071478564769288;-14.001634427266623;-12.551368366973048
2018-12-04 20:00:00;-14.767947724073993;-13.570956090529686;-13.89439460925397;-13.329912101193353
2018-12-04 21:00:00;-15.209497216108069;-13.742040395433492;-13.813711376920452;-14.073200760553684
2018-12-04 22:00:00;-15.19395274914067;-14.29315239253194;-14.028036711590005;-13.943650696521413
2018-12-04 23:00:00;-14.356079352301965;-14.807252875328874;-14.093503878806523;-14.129317268597323
2018-12-05 00:00:00;-15.018570244693624;-14.730161081256648;-14.265957930125426;-12.664207078940374
2018-12-05 01:00:00;-15.277257386776986;-14.850081503451259;-14.113649246275648;-13.738140930840391
2018-12-05 02:00:00;-14.655820964577961;-13.845546790448346;-13.711407268194446;-12.662495922971566
2018-12-05 03:00:00;-13.946520717253106;-14.576830975221535;-14.043704781803967;-12.369345224056042
2018-12-05 04:00:00;-14.391458925492115;-13.82402293580494;-14.007159965895696;-13.259952118219678
2018-12-05 05:00:00;-14.10828703362158;-13.631026398265421;-13.445149454057782;-12.92224357695094
2018-12-05 06:00:00;-11.148217796829464;-14.235765328780811;-13.66973531362254;-13.412562307710566
2018-12-05 07:00:00;-12.641646726823721;-14.011464845008092;-13.567314906293348;-13.568397436335447
2018-12-05 08:00:00;-14.272606908631097;-14.35259031957588;-14.51591825836467;-13.351574722095734
2018-12-05 09:00:00;-12.318083579214347;-14.464259463565687;-13.517729498267402;-14.033486989531637
2018-12-05 18:00:00;-13.526951950814944;-14.339762578005052;-13.95961376053759;-7.992825871579305
2018-12-05 19:00:00;-14.517337197978375;-14.654816514453989;-13.94200473749948;-12.002946959927291
2018-12-05 20:00:00;-14.370538527522399;-10.881384070679724;-13.995076564593807;-11.240693448874689
2018-12-05 21:00:00;-15.014401896359969;-13.341044849259942;-13.019519423300238;-12.298210898430822
2018-12-05 22:00:00;-15.098722058423235;-12.881621075273793;-13.61786318823372;-11.615082431523403
2018-12-05 23:00:00;-15.15519531666145;-13.515768002405302;-13.10105417405949;-12.38847594258162
2018-12-06 00:00:00;-15.3634194352742;-13.119552374688366;-13.854077815900657;-12.45834793624871
2018-12-06 01:00:00;-15.435111296867817;-13.608973678060336;-14.034305151097447;-12.74799642262706
